track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
LOS PITS,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364193,"4,512",19.6,"74,331,462","17,357","2,290,183",
Calling For You (feat. 21 Savage),For All The Dogs,Drake,10/6/23,USUG12306068,"2,758",26.7,"74,265,576","23,221","3,122,350",
"Gali Gali (From 'Kgf Chapter 1'"")""","Gali Gali (From 'Kgf Chapter 1'"")""",Neha Kakkar,12/13/18,INS181802942,"3,515",23,"74,027,513","5,648","3,808,001",59
Not Even Ghosts Are This Empty,I No Longer Fear The Razor Guarding My Heel (V) - Single,$uicideboy$,8/11/23,QZAPK2000391,"3,216",24.3,"73,979,851","22,621","3,769,032",67
Would You (go to bed with me?),Would You (go to bed with me?),Campbell,7/21/23,GBAHS2300598,"4,405",19.9,"73,821,370","23,298","16,167,031",71
Se Acabï¿½ï¿½ la Cuaren,Viva el Perreo,Jowell & Randy,8/6/20,QM6P42086452,915,50.5,"73,468,394","23,284","4,240,574",51
BRODYAGA FUNK,BRODYAGA FUNK - EP,Eternxlkz,11/17/23,QMFMF2345384,"2,183",30.7,"73,316,998","6,863","23,952,817",75
CAKE,KILL MY DOUBT,ITZY,7/31/23,US5TA2300075,"2,981",25.5,"73,213,687","7,423","2,784,630",62
Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,1/19/24,QZZEC2322612,"2,850",26.2,"73,192,291","7,800","40,120,103",79
Aye (feat. Travis Scott),Pink Tape,Lil Uzi Vert,6/30/23,USAT22306849,"3,204",24.3,"73,140,012","38,585","11,725,812",62
"Halli Naatu (From 'Rrr'"")""","Halli Naatu (From 'Rrr'"") - Single""",Rahul Sipligunj,11/10/21,INS182115577,"2,293",29.9,"72,962,855",169,"170,665",
Cry,Fireworks & Rollerblades,Benson Boone,4/5/24,USWB12401092,"1,589",36.7,"72,952,792","5,724","21,375,874",18
"Photo (From 'Luka Chuppi'"")""","Photo (From 'Luka Chuppi'"")""",Karan Sehmbi,2/12/19,INS181900313,"1,149",44.3,"72,849,488","9,804","2,252,266",54
This Is The Life,This Is The Life,LIZOT,10/13/23,DEUM72311113,"2,750",26.8,"72,773,866","23,003","14,286,816",71
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/24,USUG12402543,"4,140",20.9,"72,634,553","2,185","14,312,275",
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) - Single,MAX,2/9/24,USWB12400075,"3,537",22.9,"72,492,332","5,624","10,655,675",
Love Lee,Love Lee,AKMU,8/21/23,KRA402300033,"1,294",41.4,"72,468,277","10,736","4,247,248",65
Better Things,Better Things - Single,aespa,8/18/23,KRA302300242,"3,738",22.2,"72,446,983","7,731","5,625,254",60
LOOOVE (feat. Kid Cudi),UTOPIA,Travis Scott,7/28/23,USSM12305018,"3,919",21.6,"72,380,469","32,141","3,198,359",63
Filhaal2 Mohabbat,Filhaal2 Mohabbat,B Praak,7/6/21,INUM72100040,"2,206",30.5,"72,348,363","6,300","1,979,759",57
Family Matters,Family Matters,Drake,5/3/24,USUG12402984,154,122.7,"72,335,127","8,696","36,774,031",86
Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,3/7/24,BRWMB2400220,842,52.9,"71,944,011","5,329","22,615,957",67
Coraï¿½ï¿½ï¿½ï¿½o,"Patroas, EP1",Marï¿½ï¿½lia Mendo,7/10/20,BRWNV2000088,"4,370",20.1,"71,915,713","6,180","8,643,384",54
DNA (Loving You) [feat. Hannah Boleyn],DNA (Loving You) [feat. Hannah Boleyn] - Single,Billy Gillies,7/28/23,USAT22307379,"1,792",34.4,"71,722,674","15,522","22,597,896",68
